file_path,SMILES
real/patent_images/WO2020132648A1_11-64.png,Cc1cc(NC(=O)c2ccc(NS(=O)(=O)CCO)cc2N2CCC3(CC2)CC3)c(F)c(N2CCC(F)(F)CC2)n1
real/patent_images/WO2020132648A1_1-6.png,Cc1cc(NC(=O)c2ccc(S(=O)(=O)NC3(C)COC3)cc2N2CCC3(CC2)CC3)nc(OCCC(F)(F)F)n1
real/patent_images/WO2020132648A1_11-60.png,Cc1cc(NC(=O)c2ccc(NS(=O)(=O)CCO)cc2N2CCC3(CC2)CC3)cc(OCCC(F)(F)F)n1
real/patent_images/WO2020132648A1_7.png,Cc1cc(NC(=O)c2ccc(NS(=O)(=O)CCO)cc2N2CCC3(CC2)CC3)nc(N2CC(F)(F)C2)n1
real/patent_images/WO2020132648A1_4.png,Cc1cc(NC(=O)c2ccc(NS(=O)(=O)CCO)cc2N2CCC3(CC2)CC3)nc(N2CCC(F)(F)CC2)n1
real/patent_images/WO2020132648A1_2.png,CC1(NS(=O)(=O)c2ccc(C(=O)Nc3ccnc(C(C)(C)O)n3)c(N3CCC4(CC3)CC4)c2)COC1
real/patent_images/WO2020132648A1_16-2.png,Cc1cc(NC(=O)c2ccc(NS(=O)(=O)[C@H](CO)CF)cc2N2CCC3(CC2)CC3)nc(N2CCC(F)(F)CC2)n1
real/patent_images/WO2020132648A1_5-2.png,Cc1cc(NC(=O)c2ccc(N[S@TB15](=O)(=O)[C@H](C)CO)cc2N2CCC3(CC2)CC3)nc(N2CCC(F)(F)CC2)n1
real/patent_images/WO2020132648A1_9-2.png,Cc1cc(NC(=O)c2cc(F)c(N[S@SP1](=O)(=O)CCO)cc2N2CCC3(CC2)CC3)nc(N2CCO[C@H](C)C2)n1
real/patent_images/WO2020132648A1_13-2.png,Cc1cc(NC(=O)c2ccc(S(=O)(=O)[C@H](C)CO)cc2N2CCC3(CC2)CC3)nc(N2CCC(F)(F)CC2)n1
real/patent_images/WO2020132648A1_5-1.png,Cc1cc(NC(=O)c2ccc(NS(=O)(=O)[C@@H](C)CO)cc2N2CCC3(CC2)CC3)nc(N2CCC(F)(F)CC2)n1
real/patent_images/WO2020132648A1_8-1.png,Cc1cc(NC(=O)c2cc(F)c(N[S@TB15](=O)(=O)[C@@H](C)CO)cc2N2CCC3(CC2)CC3)nc(N2CCC(F)(F)CC2)n1
real/patent_images/WO2025235957_808.png,[2H]Cn1nc(C(=O)NC/C=C/c2cc3c(N[C@@H]4CCN(C)C[C@@H]4F)cccc3c(C(=C)C(F)(F)F)n2)cc1C
real/patent_images/WO2025235957_868.png,[2H]C([2H])([2H])N1CC[C@@H](Nc2cccc3c(C(=C)C(F)(F)F)nc(/C=C/CNC(=O)c4ccn(C([2H])([2H])[2H])n4)cc23)[C@@H](F)C1
real/patent_images/WO2025235957_180.png,C=C(c1nc(-c2cccc(CNC(C)=O)c2)cc2c(N[C@@H]3CCN(C)C[C@@H]3F)cccc12)C(F)(F)F
real/patent_images/WO2025235957_297.png,C=C(c1nc(CCCNC(=O)c2cnn(C(C)(C)C)c2)cc2c(N[C@@H]3CN(C)C[C@H]3C#N)cccc12)C(F)(F)F
real/patent_images/WO2025235957_231.png,C=C(c1nc(N[C@@H]2CC[C@H](NC(=O)c3cnn(CC(C)(C)O)c3)C2)cc2c(N[C@@H]3CCN(C)C[C@@H]3F)cccc12)C(F)(F)F
real/patent_images/WO2025235957_132.png,C=C(c1nc(N[C@@H]2CC[C@H](NC(=O)c3ccn(CCOC)n3)C2)cc2c(N[C@@H]3CCN(C)C[C@@H]3F)cccc12)C(F)(F)F
real/patent_images/WO2025235957_219.png,C=C(c1nc(CCCNC(=O)c2cnn(C(C)(C)C)c2)cc2c(NC34CCN(CC3)CC4)cccc12)C(F)(F)F
real/patent_images/WO2025235957_781.png,C=C(c1nc(C=CCNC(=O)c2ccn(CC(F)F)n2)cc2c(N[C@@H]3CCN(C)C[C@@H]3F)cccc12)C(F)(F)F
real/patent_images/WO2025235957_801.png,[2H]C([2H])([2H])C([2H])([2H])n1ccc(C(=O)NC/C=C/c2cc3c(N[C@@H]4CCN(C)C[C@@H]4F)cccc3c(C(=C)C(F)(F)F)n2)n1
real/patent_images/WO2025235957_407.png,C=C(c1nc(/C=C/CNC(=O)C2CC2)cc2c(NC3CC4CCC(C3)C4N)cccc12)C(F)(F)F
real/patent_images/WO2025235957_353.png,C=C(c1nc(/C=C/CNC(=O)C2CC2)cc2c(N[C@@H]3CC4CCC([C@@H]3F)N4C)cccc12)C(F)(F)F
real/patent_images/WO2025235957_299.png,C=C(c1nc(CCCNC(=O)c2cnn(C(C)(C)C)c2)cc2c(NC(C)(C)CCN(C)C)cccc12)C(F)(F)F
real/patent_images/WO2025235957_880.png,[2H]C([2H])([2H])N1CC[C@@H](Nc2cccc3c(C(=C)C(F)(F)F)nc(C=CCNC(=O)C4CC4)cc23)[C@@H](F)C1
real/patent_images/WO2025235957_320.png,C=C(c1nc(C=CCNC(=O)c2cnn(CC(C)(C)O)c2)cc2c(N[C@@H]3CCN(C)C[C@@H]3F)cccc12)C(F)(F)F
real/patent_images/WO2025235957_240.png,C=C(c1nc(CCCNC(C2CC2)C(F)(F)F)cc2c(N[C@@H]3CCN(C)C[C@@H]3F)cccc12)C(F)(F)F
real/patent_images/WO2025235957_351.png,C=C(c1nc(/C=C/CNC(=O)C2CC2)cc2c(N[C@H]3CC[C@@H](N4CC5CC4CO5)CC3)cccc12)C(F)(F)F
real/patent_images/WO2025235957_800.png,C=C(c1nc(/C=C/CNC(=O)c2ccn(CC)n2)cc2c(N[C@@H]3CCN(C)C[C@@H]3F)cccc12)C(F)(F)F
real/patent_images/WO2025235957_617.png,C=C(c1nc(/C=C/CNC(=O)c2sc(C)nc2OC(F)F)cc2c(N[C@@H]3CCN(C)C[C@@H]3F)cccc12)C(F)(F)F
real/patent_images/WO2025235957_9.png,C=C(c1nc(NCCC)cc2c(NC3CCN(C)CC3)cccc12)C(F)(F)F
real/patent_images/WO2025235957_799.png,[2H]Cn1ccc(C(=O)NC/C=C/c2cc3c(N[C@@H]4CCN(C)C[C@@H]4F)cccc3c(C(=C)C(F)(F)F)n2)n1
real/patent_images/WO2025235957_958.png,[2H]C([2H])(/C=C/c1cc2c(N[C@@H]3CCN(C)C[C@@H]3F)cccc2c(C(=C)C(F)(F)F)n1)NC(=O)c1ccn(C)n1
real/patent_images/WO2025235957_206.png,C=C(c1nc(CCCNC(=O)c2cnn(C(C)(C)C)c2)cc2c(N[C@@H]3CC[C@@H](N4CCOCC4)C[C@@H]3F)cccc12)C(F)(F)F
real/patent_images/WO2025235957_286.png,C=C(c1nc(CCCNC(=O)c2cnn(C(C)(C)C)c2)cc2c(NC3CCN(C[C@@H](O)CO)CC3)cccc12)C(F)(F)F
real/patent_images/WO2025235957_802.png,C=C(c1nc(/C=C/CNC(=O)c2ccnn2C(F)(F)F)cc2c(N[C@@H]3CCN(C)C[C@@H]3F)cccc12)C(F)(F)F
real/patent_images/WO2025235957_90.png,C=C(c1nc(N[C@@H]2CC[C@H](NC(=O)c3cnn(C(C)(C)C)c3)C2)cc2c(NC3CCN(C)CC3)cccc12)C(F)(F)F
real/patent_images/WO2025235957_862.png,C=C(c1nc2cc3c(cccc13)N[C@@H]1CCN(CCCCCCCCCn3nccc3C(=O)NC/C=C/2)C[C@@H]1F)C(F)(F)F
real/patent_images/WO2025235957_419.png,C=C(c1nc(/C=C/CNC(=O)C2CC2)cc2c(NC3CC34CCN(C)CC4)cccc12)C(F)(F)F
real/patent_images/WO2025235957_112.png,C=C(c1nc(N[C@@H]2CC[C@H](NC(=O)c3ccccn3)C2)cc2c(N[C@@H]3CCN(C)C[C@@H]3F)cccc12)C(F)(F)F
real/patent_images/WO2025235957_804.png,[2H]C(C)n1nccc1C(=O)NC/C=C/c1cc2c(N[C@@H]3CCN(C)C[C@@H]3F)cccc2c(C(=C)C(F)(F)F)n1
real/patent_images/WO2025235957_501.png,C=C(c1nc(C=CCNC(=O)[C@H]2C[C@@H]2F)cc2c(N[C@@H]3CCN(C)C[C@@H]3F)cccc12)C(F)(F)F
real/patent_images/WO2025235957_858.png,CN1CC[C@@H](Nc2cccc3c(C#CC(F)F)nc(/C=C/CNC(=O)C4CC4)cc23)[C@@H](F)C1
real/patent_images/WO2025235957_285.png,C=C(c1nc(CCCNC(=O)c2cnn(C(C)(C)C)c2)cc2c(N[C@]3(C)C[C@H](N)C3)cccc12)C(F)(F)F
real/patent_images/WO2025235957_449.png,C=C(c1nc(C=CCNC(=O)c2cnn(CC(F)F)c2)cc2c(N[C@@H]3CCN(C)C[C@@H]3F)cccc12)C(F)(F)F
real/patent_images/WO2025235957_399.png,C=C(c1nc(/C=C/CNC(=O)C2CC2)cc2c(NC3C[C@H]4CCC[C@@H](C3)N4C)cccc12)C(F)(F)F
real/patent_images/WO2025235957_959.png,[2H]C([2H])(/C=C/c1cc2c(N[C@@H]3CCN(C)C[C@@H]3F)cccc2c(C(=C)C(F)(F)F)n1)NC(=O)C1CC1
real/patent_images/WO2025235957_416.png,C=C(c1nc(/C=C/CNC(=O)C2CC2)cc2c(NC3C[C@H]4CCC[C@@H](C3)N4C)cccc12)C(F)(F)F
real/patent_images/WO2025235957_221.png,C=C(c1nc(CCCNC(=O)c2cnn(C(C)(C)C)c2)cc2c(N[C@@H]3CCN(C4CCOC4)C[C@@H]3F)cccc12)C(F)(F)F
